ClusterID,Sequence,StoreName,Latitude,Longitude,DistanceFromOriginKM
1,1,KS MART SDN BHD,3.197716,101.568073,1.5276
1,2,LASHIKA SPICES - OPEN 7AM-10PM & 2PM-4:30PM - (11AM-2PM TAK BOLEH DELIVERY),3.1957531,101.5645649,1.3816
1,3,BUMI SEHATI FROZEN FOOD SDN BHD,3.188154,101.573128,2.6461
1,4,MITAJAYA TRADING,3.1928766,101.5291471,3.3463
1,5,L & P MINI MARKET (khamis tutup),3.1987847,101.590422,3.8242
1,6,BINTANG HU TRADING(FRIDAY CLOSED),3.2118755,101.5300983,3.0317
1,7,BINTANG HU TRADING (FRIDAY CLOSED),3.2073436,101.4969526,6.6260
1,8,MKR STORE,3.2160498,101.6258664,7.7823
1,9,BIG TREE CORNER,3.219705044,101.6294093,8.2405
1,10,CAMP FOREST RESTAURANT (Open 11.30am-10.30pm),3.214478948,101.6320953,8.4434
1,11,CHOP HONG CHAN (Open 8am),3.214863859,101.653769,10.8400
1,12,KS SMART MART SDN. BHD. (Mon-Sat: 9am-7pm),3.1995828,101.4554655,11.2461
1,13,CHIN SWEE FOOD SDN BHD (10am-5pm) (RABU TUTUP),3.170735565,101.6664263,12.7846
1,14,BIG FAMILY RESTAURANT SDN BHD,3.1665038,101.4253537,15.1965
1,15,CB FROZEN FOOD SDN. BHD. - SRI RAMPAI,3.200736131,101.7304739,19.3104
2,1,MY A1 SDN BHD,3.2021103,101.3406998,23.9721
2,2,MY A1 SDN BHD-DESA COALFIELDS,3.2021103,101.3406998,23.9721
3,1,BIG TREE PLT (24 Hrs - Every 2 weeks off 1 day),3.088609843,101.7434149,24.4657
4,1,CB FROZEN FOOD SDN. BHD. - SUNGAI BULOH (Monday-Saturday: 8am-5pm),3.2105831,101.2785965,30.8697
4,2,CB WHOLESALE MART SDN BHD - SUNGAI BULOH,3.2105831,101.2785965,30.8697
