StoreName,StoreCode,ownerName,address1,address2,area,city,state,pincode,businessType,outletType,email,phoneNumber,latitude,longitude
Test Store,Test Owner,,TEST ADDRESS 1,TEST ADDRESS 2,TEST AREA,KUALA LUMPUR,KUALA LUMPUR,48300,Standalone,11,testcustomer@gmail.com,9645465676,13.5300007,75.3663962
1 BABA STORE SDN BHD,B102,TAN LEI SIEN,"1 BABA STORE SDN BHD, B-G-2/3/4/5/6/10/11/12/13/14/15,","BLOCK B JALAN 6/2, TAMAN CEMPAKAPURI 4,","B.B.N. NILAI, N.SEMBILAN",NILAI,NEGERI SEMBILAN,71800,Standalone,11,sales@pmmahsuri.com.my,016-215 1402,2.822197,101.817315
1 JUTA NASI LEMAK ENTERPRISE (K88 Food COURT),J070,LEE SOON LOONG,"K88 FOODCOURT,","LOT 14459, OFF JLN KANGKONG, TAMAN GOODWOOD,",KUALA LUMPUR,SRI PETALING,KUALA LUMPUR,58200,Standalone,11,sales@pmmahsuri.com.my,012-2945756,3.093567658,101.6816377
118 FRESHMART,F082,,"NO. 2 & 3,","TAMAN DESA PERMAI,","SIMPANG DURIAN, NEGERI SEMBILAN",SIMPANG DURIAN,NEGERI SEMBILAN,72400,Standalone,11,sales@pmmahsuri.com.my,011-15761778,3.097621,102.219079
126 RESTAURANT (9AM-3.30PM),R107,KAK OMAMA,"E, 8 & 9, JALAN SEGAMBUT,","TAMAN KOK DOH,", KUALA LUMPUR.,KEPONG,KUALA LUMPUR,51200,Standalone,11,sales@pmmahsuri.com.my,,3.196440575,101.6646699
1ST GRID SDN. BHD.,G081,,"42,","JALAN PEKAN MAMBAU,","SEREMBAN, N. SEMBILAN",SEREMBAN,NEGERI SEMBILAN,70300,Standalone,11,sales@pmmahsuri.com.my,011-37378265,2.6664974,101.9183007
29 GROCER (Open 8.30am-5.30pm),G080,,"NO. 8, JALAN PANDAN INDAH 4/10,","PANDAN INDAH,","K. LUMPUR, WILAYAH PERSEKUTUAN",PANDAN INDAH,KUALA LUMPUR,55100,Grocery,07,sales@pmmahsuri.com.my,016-3813700,3.131789,101.753551
51 GROCER (8AM-8PM),G044,GANESH SHAN,"LOT 1-1,","PERSIARAN SYED PUTRA 3,",KUALA LUMPUR.,KL TOWN,KUALA LUMPUR,50460,Grocery,07,sales@pmmahsuri.com.my,012-221 8635,3.121364778,101.6854691
7 PELANGI SDN BHD,P135,MR KOH,"7 PELANGI SDN BHD -  SETAPAK,","PV 2 JALAN TAMAN MELATI 1,"," TAMAN MELATI UTAMA SETAPAK, KUALA LUMPUR.",AMPANG,KUALA LUMPUR,53100,Standalone,11,sales@pmmahsuri.com.my,03-41019309,3.20193959,101.7157807
810 SPEEDMART SDN BHD (open 8am-4pm) (close 1pm-2pm) - SAT CLOSED,S407,ELAINE/WOON,43 & 45 JALAN SRI RAMPAI 45/26,TAMAN SRI RAMPAI SETAPAK,KUALA LUMPUR,SETAPAK,KUALA LUMPUR,53300,Standalone,11,sales@pmmahsuri.com.my,014-6699166,3.195203231,101.7329516
88 DISTRIBUTION (MALAYSIA) SDN.BHD.,D056,,"LOT 2973, BATU 8 3/4, JALAN DATUK KUMBAR,","KAMPUNG PADANG, MUKIM TAJAR","LANGGAR, KEDAH",LANGGAR,KEDAH,6500,Standalone,11,sales@pmmahsuri.com.my,,6.058697979,100.4433523
88 FRESHMART SDN. BHD. (Mon-Sat: 9.30am-8pm|Fri: 12pm-3pm rest),F089,SHAHIN,"NO. 6, JALAN JEJAKA 7,","TAMAN MALURI CHERAS,",KUALA LUMPUR,CHERAS,KUALA LUMPUR,55100,Standalone,11,sales@pmmahsuri.com.my,016-6844775,3.128969,101.465095
A 1 SYUKUR ENTERPRISE - 8am to 7pm delievery,A129,SALISA MULIRA BINTI AWANG HAMAT,A 1 SYUKUR ENTERPRISE,"PT-15977, JALAN AIR PUTIH, KAMPUNG JAYA CHUKAI","KEMAMAN, TERENGGANU",KEMAMAN,TERENGGANU,24000,Standalone,11,sales@pmmahsuri.com.my,,4.229969213,103.4305115
A MART SUPERSTORE SDN BHD,A144,VIVIAN YONG,"G-7-33,","JALAN YAP KWAN SENG,",KUALA LUMPUR. MALAYSIA.,YAP KWAN SENG,KUALA LUMPUR,50450,Standalone,11,sales@pmmahsuri.com.my,018-982 4964,3.164167089,101.7175381
A S M FAHIM HOLDINGS SDN BHD (Fri: 1pm-3pm rest),A185,,"NO. 40, JALAN PDR-5,","KAWASAN PERNIAGAAN DESA RIA,","BALAKONG, SELANGOR",SERI KEMBANGAN,SELANGOR,43300,Standalone,11,sales@pmmahsuri.com.my,016-6729894,3.024007,101.748703
A&T ASTAKA MART (Mon-Fri: 8am-6pm| Sat: 3pm closed),A168,AGIELANDESVARI,"NO 19, JALAN ASTAKA 5/KU 2,","BANDAR BUKIT RAJA,","KLANG, SELANGOR",KLANG,SELANGOR,41050,Standalone,11,sales@pmmahsuri.com.my,018-2752735,3.129044,101.465035
A&T ASTAKA MART-PORT KLANG (Mon-Sat: 9am-6m),A169,SEIVAM,"NO 39, LORONG SULTAN MOHAMED 1A,","BANDAR SULTAN SULAIMAN,","PELABUHAN KLANG, SELANGOR",KLANG,SELANGOR,42000,Standalone,11,sales@pmmahsuri.com.my,012-3152523,3.128957,101.465118
A&Z BARKAT MAJU MARKETING (12pm-3pm close),A143,,"BLOK A, G11, JALAN PJU 10/1,","APT IDAMAN, DAMANSARA DAMAI","SUNGAI BULOH, SELANGOR.",DAMANSARA,SELANGOR,47830,Standalone,11,sales@pmmahsuri.com.my,017-364 3044,3.1909023,101.5884752
A.RENGASAMY & SONS (MON-FRI : 8AM-6PM | SAT CLOSED AT 3PM),A167,SAREN RAJ,"S-31, JALAN SCHOLA,","JENJAROM NEW VILLAGE, BANTING,","JENJAROM, SELANGOR",KLANG,SELANGOR,42600,Standalone,11,sales@pmmahsuri.com.my,010-2161712,3.128957,101.465118
AA WORLD ENTERPRISE (Fri: Close during prayer),A179,MUNSUR,"B4-7, JALAN DAMAI PERDANA 1/8C,","BANDAR DAMAI PERDANA,",KUALA LUMPUR,DAMAI,KUALA LUMPUR,56000,Standalone,11,sales@pmmahsuri.com.my,016-2170687,3.046857,101.740794
AAA MINI MARKET (Mon-Sat: 10am-6pm|Friday close),A177,HALAM,"I-G-27, 25, 23, 21, JALAN PP 41,","TAMAN PINGGIRAN PUTRA,","SERI KEMBANGAN, SELANGOR",SERI KEMBANGAN,SELANGOR,43300,Standalone,11,sales@pmmahsuri.com.my,019-6917781,3.055909,101.63768
ABDUL SALAM A/L KADER IBRAHIM,A114,ABDUL SALAM,"ABDUL SALAM A/L KADER IBRAHIM, NO. G-12A, BLOK BUNGA RAYA 1,","JALAN ABADI 1, TAMAN MALIM JAYA,",MELAKA.,MALIM JAYA,MELAKA,75250,Standalone,11,sales@pmmahsuri.com.my,,2.245917365,102.2347278
ABIRAMIS CASH & CARRY,A110,S.SATHASIVAM,"NO. 107, JLN SENTUL,","SENTUL PASAR,","SENTUL, KUALA LUMPUR",KRUBONG,KUALA LUMPUR,51000,Standalone,11,sales@pmmahsuri.com.my,04-4045 7689,3.128912,101.465079
ABM FOOD INDUSTRY (CALL BEFORE DELIVER),A140,ABU BAKAR KANNIFAH BIN KURDI,"NO 5, JALAN IKS 2,","TAMAN IKS PULAI,","MERLIMAU, MELAKA.",TANJUNG MINYAK,MELAKA,77300,Standalone,11,sales@pmmahsuri.com.my,013-803 6957,2.144482,102.373431
ABT FRESH & FROZEN FOOD SUPPLY S/B (MON-FRI 8AM-5 PM) (SAT 8AM-1PM),A141,CIK HANCR,"NO 128, JALAN BURHANUDDIN HELMI,","TAMAN TUN DR ISMAIL,",KUALA LUMPUR,TTDI,KUALA LUMPUR,60000,Standalone,11,sales@pmmahsuri.com.my,017-915 9088,3.156204699,101.6279132
ACCESS FOUR TRADING (Fri: Halfday for prayer),A189,,"NO. 10, JALAN AU 4/1,","TAMAN SRI KERAMAT TENGAH,",KUALA LUMPUR,KERAMAT,KUALA LUMPUR,54200,Standalone,11,sales@pmmahsuri.com.my,011-21704953,3.196925,101.759184
AD DIN TEGUH RESOURCES,A200,KAMARUDIN BIN USOP @ HARUN,"LOT NO.2,","BAZAR MARA PADANG LEBAR 2,","BATU KIKIR, NEGERI SEMBILAN",BANDAR HILIR,NEGERI SEMBILAN,72200,Standalone,11,sales@pmmahsuri.com.my,018-2914042,2.8609839,102.2711055
ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm),A176,NG LIAN JOO,"LOT 415, 416, 417, JALAN PERUSAHAAN 2 FASA 1A,","BANDAR BARU SUNGAI BULOH, SEKSYEN U20,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,40160,Standalone,11,sales@pmmahsuri.com.my,012-2920822,3.210918,101.567095
AFIA MARIAM TRADING SDN BHD (LORI KECIL),A020,EN.SULTAN SYED IBRAHIM (MD),BLOCK B SHOP NO. 04 & 05 MEGAN AVENUE 1,189 JALAN TUN RAZAK, KUALA LUMPUR,TANJUNG MINYAK,KUALA LUMPUR,50400,Standalone,11,sales@pmmahsuri.com.my,016-264 2236,3.162200822,101.7176114
AGRO 19 BERHAD,A142,DHARMINDER SINGH,"NO.3, JALAN HELANG HINDIK,",KEPONG INDUSTRIAL ESTATE, KUALA LUMPUR.,TANJUNG KLING,KUALA LUMPUR,52100,Standalone,11,sales@pmmahsuri.com.my,019-336 2836,3.196037479,101.6420222
AHMAD KHANAPI BIN HJ UMAR (FRIDAY off 12pm - 4pm),A125,AHMAD KHANAPI,AHMAD KHANAPI BIN HJ UMAR,"NO 3, BATU 12 1/2 BELIMBING DALAM,","DURIAN TUNGGAL, MELAKA.",TANJUNG MINYAK,MELAKA,76100,Standalone,11,sales@pmmahsuri.com.my,,2.320073379,102.2592336
AHMAD PATANG ENTERPRISE (Mon-Sat: 9am-6pm),A197,RASMIDIN,"K-14, BLOK Q, RUMAH PANGSA, OFF JALAN BATU NILAM 34,","BANDAR BUKIT TINGGI 2,","KLANG, SELANGOR",KLANG,SELANGOR,41200,Standalone,11,sales@pmmahsuri.com.my,017-9499700,3.12898,101.465116
AI KOPI ENTERPRISE (DELIVERY BY 4BY4),A148,LEE XIN YU,"235, JALAN 11",SALAK SELATAN BARU,KUALA LUMPUR,CHERAS,KUALA LUMPUR,57100,Standalone,11,sales@pmmahsuri.com.my,013-985 2682,3.086685362,101.7078735
AIK HENG (MON-FRI 9PM to 3PM),A128,WONG CHAI YU,AIK HENG,"NO27, 28. JALAN YAP LEE,",MENTAKAB PAHANG.,MENTAKAB,PAHANG,28400,Standalone,11,sales@pmmahsuri.com.my,,3.485193876,102.3518292
AIMAN BAHAR MINI MARKET,A206,BALA,"NO. 449,","DOWN TAMAN SENAWANG JAYA,","SEREMBAN, N. SEMBILAN",BATU BERENDAM,NEGERI SEMBILAN,70450,Standalone,11,sales@pmmahsuri.com.my,011-19074786,2.6914164,101.9888259
AINUR NADI ENTERPRISE (Fri: 12pm-3pm rest),A180,ANSARI,"NO. 6-1, JALAN PEGAGA C U12/C,","DESA ALAM, SEKSYEN U12,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,40170,Standalone,11,sales@pmmahsuri.com.my,011-36733508,3.133395,101.45851
AJ AARYAN MINI MARKET (Mon-Sat: 9am-6pm|Fri: 12pm-3pm rest),A195,AYUB,"NO. 43 GF, JALAN SETIA PERDANA U13/BC,","SEKSYEN U13, SETIA ALAM,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,40170,Standalone,11,sales@pmmahsuri.com.my,011-28165964,3.129056,101.465033
AKPS CASH & CARRY,A160,,NO 12 & 13 JLN TINGKAT 1,TAMAN INDAH JAYA LUKUT,"PORT DICKSON, N. SEMBILAN",ALOR GAJAH,NEGERI SEMBILAN,71010,Standalone,11,sales@pmmahsuri.com.my,0196504609,2.5732709,101.8330101
AL AWWAL BISTRO,A193,,"NO. 61, JALAN PEREPAT 27/95,","SEKSYEN 27,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,40400,Standalone,11,sales@pmmahsuri.com.my,013-2204070,3.014075,101.560209
AL HISHA MINI MARKET (Mon-Sat: 9am-6pm| Fri: NO DELIVERY),A173,HIDAYAT,"NO. 6, JALAN MUARA 8/9,","SEKSYEN 8,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,40000,Standalone,11,sales@pmmahsuri.com.my,013-2226960,3.128957,101.465118
ALANGACU UB TRADING,A205,AZAHA,"NO. 5, UB CAFE,","TAMAN ULU BENDUL,","KUALA PILAH, N. SEMBILAN",ALOR GAJAH,NEGERI SEMBILAN,71500,Standalone,11,sales@pmmahsuri.com.my,010-2127251,2.7312522,102.0785258
ALEE FROZEN AND FOOD SUPPLY-8.30AM-5.30PM,A023,MR. LEE HING LAI,"NO.29, JALAN S2 G2,","GARDEN AVENUE,"," SEREMBAN, NEGERI SEMBILAN",KRUBONG,NEGERI SEMBILAN,70300,Standalone,11,sales@pmmahsuri.com.my,016-6163809,2.680775,101.902971
ALI FOOD CORNER - RESTORAN ALI FOOD'S CORNER (SEGAMBUT),R087,S.AIYEER KHAN,"C-01-G, M AVENUE,","JALAN SEGAMBUT,", KUALA LUMPUR.,UJONG PASIR,KUALA LUMPUR,52100,Standalone,11,sales@pmmahsuri.com.my,,3.185554228,101.6774922
ALINAH KARIM ENTERPRISE,A123,SALINA BTE JAMALLUDIN,"NO.6, JALAN TMS 8,","TAMAN TANJUNG MINYAK SETIA,","TANJUNG MINYAK, MELAKA",BATU BERENDAM,MELAKA,75250,Standalone,11,sales@pmmahsuri.com.my,017-2456133,2.260321702,102.1965873
ALIYA FARHANA ENTERPRISE,A203,NIZAM,"NO. 8,","JALAN PERHENTIAN BAS,","BAHAU, N. SEMBILAN",TANJUNG MINYAK,NEGERI SEMBILAN,72100,Standalone,11,sales@pmmahsuri.com.my,010-9206416,2.8095395,102.4044522
ALTA JAYA ENTERPRISE,A181,,"G-05, BLOK KENARI A,","JALAN TEMBUSU 3, TAMAN IMPIAN EHSAN,","BALAKONG, SELANGOR",SERI KEMBANGAN,SELANGOR,43300,Standalone,11,sales@pmmahsuri.com.my,017-3064505,3.01451,101.754604
AMA WORLDWIDE SDN BHD (Open 8am-8pm) Friday closed,A161,RETENA SARI BT. SARIAN,9A LORONG ELMINA 4,SUNGAI BULOH COUNTRY RESORT,SG. BULOH SELANGOR,SUNGAI BULOH,SELANGOR,57000,Standalone,11,sales@pmmahsuri.com.my,03-60387756,3.2009369,101.4766868
AMAN RAHIM ENTERPRISE,A152,NOR HIDAYAH,D-11-02 PANGSAPURI KOS RENDAH,"JALAN 30/146, BANDAR TASIK SELATAN", KUALA LUMPUR,TANJUNG MINYAK,KUALA LUMPUR,57000,Standalone,11,sales@pmmahsuri.com.my,011-35508486,3.073115126,101.7185008
AMAZING INDUSTRIES SDN BHD - Monday to saturday,A132,BONG CHEE JOON,"AMAZING INDUSTRIES SDN BHD, LOT 276, JALAN INDUSTRI 2/1,","TEMERLOH INDUSTRIAL PARK,",MENTAKAB PAHANG,MENTAKAB,PAHANG,28400,Standalone,11,sales@pmmahsuri.com.my,09-2962925,3.449908117,102.3515554
AMPANG GROCERS SDN BHD,A131,AH LONG,AMPANG GROCERS SDN BHD,"NO 40,42,44, PERSIARAN AMPANG, 6 KM OFF JALAN AMPANG",KUALA LUMPUR,PEKAN MERLIMAU,KUALA LUMPUR,68000,Grocery,07,sales@pmmahsuri.com.my,,3.158203235,101.7475888
AMPLE PROSPERITY SDN. BHD. (DELIVERY : MON - FRI),A153,MS. WONG LI LI & KELLY LOW,"55E & 56E, JALAN USJ 10/1F",TAIPAN BUSINESS CENTRE,"SUBANG JAYA, SELANGOR",SUBANG JAYA,SELANGOR,47620,Standalone,11,sales@pmmahsuri.com.my,012-2525266,3.074688,101.61253
AMRI & HARTINI ENTERPRISE (Fri: 12pm-3pm close),A207,ARIFF,"NO. 30, VELODROME BUSINESS PARK,","BATU 4, JALAN CHERAS,",K. LUMPUR,TANJUNG MINYAK,KUALA LUMPUR,56000,Standalone,11,sales@pmmahsuri.com.my,012-3449049,3.110411007,101.7301672
