cluster_id,sequence,store_name,latitude,longitude,route_pattern
1,1,Origin,3.2053,101.5566,Origin -> PASAR MINI PAYA JARAS -> ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm) -> AURA NURILHAM ENTERPRISE -> RAJDHANI SDN BHD
1,2,PASAR MINI PAYA JARAS,3.2002098,101.5507472,Origin -> PASAR MINI PAYA JARAS -> ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm) -> AURA NURILHAM ENTERPRISE -> RAJDHANI SDN BHD
1,3,ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm),3.210918,101.567095,Origin -> PASAR MINI PAYA JARAS -> ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm) -> AURA NURILHAM ENTERPRISE -> RAJDHANI SDN BHD
1,4,AURA NURILHAM ENTERPRISE,3.2153632,101.5662228,Origin -> PASAR MINI PAYA JARAS -> ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm) -> AURA NURILHAM ENTERPRISE -> RAJDHANI SDN BHD
1,5,RAJDHANI SDN BHD,3.2121628,101.5726418,Origin -> PASAR MINI PAYA JARAS -> ADA CASH & CARRY SDN BHD (Mon: No delivery after 2 pm) -> AURA NURILHAM ENTERPRISE -> RAJDHANI SDN BHD
2,1,Origin,3.2053,101.5566,Origin -> PERNIAGAAN SUNGHO FOOD SDN BHD -> BUMI SEHATI FROZEN FOOD SDN BHD -> BRICK HOUSE SDN. BHD. -> BINTANG HU TRADING(FRIDAY CLOSED)
2,2,PERNIAGAAN SUNGHO FOOD SDN BHD,3.224367,101.5631572,Origin -> PERNIAGAAN SUNGHO FOOD SDN BHD -> BUMI SEHATI FROZEN FOOD SDN BHD -> BRICK HOUSE SDN. BHD. -> BINTANG HU TRADING(FRIDAY CLOSED)
2,3,BUMI SEHATI FROZEN FOOD SDN BHD,3.188154,101.573128,Origin -> PERNIAGAAN SUNGHO FOOD SDN BHD -> BUMI SEHATI FROZEN FOOD SDN BHD -> BRICK HOUSE SDN. BHD. -> BINTANG HU TRADING(FRIDAY CLOSED)
2,4,BRICK HOUSE SDN. BHD.,3.118793521,101.6493211,Origin -> PERNIAGAAN SUNGHO FOOD SDN BHD -> BUMI SEHATI FROZEN FOOD SDN BHD -> BRICK HOUSE SDN. BHD. -> BINTANG HU TRADING(FRIDAY CLOSED)
2,5,BINTANG HU TRADING(FRIDAY CLOSED),3.2118755,101.5300983,Origin -> PERNIAGAAN SUNGHO FOOD SDN BHD -> BUMI SEHATI FROZEN FOOD SDN BHD -> BRICK HOUSE SDN. BHD. -> BINTANG HU TRADING(FRIDAY CLOSED)
